EPIC               Kp           Raw CDPP     Everest CDPP      Validation        Outliers       Saturated
204625788          12.397          74.471          19.404          28.057              15               0
204721217          15.427         903.298         132.995         181.487              17               0
202637310          12.099         195.973          21.881          41.260               9               0
203925554           9.546         256.445          88.969         126.406              18               0
204380222          11.555         245.295          98.248         141.365               0               0
205540434          11.318         440.609          15.434          27.420              26               1
202776007          13.893         563.051         121.863         157.381               1               0
203667889          12.328        1451.798          61.089         106.537               5               0
204528332          14.197         343.202          78.675          99.030               8               0
205527458          14.648        1146.548          95.673         151.650              22               0
203678803          11.362         222.452          29.083          57.349             103               0
203729612          18.195        8442.786        1039.209        1383.889              31               0
202962369          14.130        1619.980         116.007         159.191              22               0
205562347          15.323        1073.222         153.704         204.168              24               0
205428264          11.796         389.888         114.371         178.718               0               0
203787259          12.873         205.987          99.708         140.009               2               0
205358744          17.469        3056.632         797.612        1037.063              14               0
203655709          13.299         264.745          93.611         117.936               1               0
202787743          13.156         508.505         152.677         196.051               8               0
204478627          14.873         352.124          95.920         125.510              23               0
205643221          13.990        2848.609          93.293         134.376              13               0
204337881          13.747         381.337         164.258         188.507              87               0
203567821          11.265        1096.742          17.034          28.740              49               0
203086625          12.458        2462.649          25.489          50.588              10               0
203561248          14.095         299.396          49.070          68.732              10               0
203735686          11.221         717.951          13.797          29.902              94               0
205368934          12.419        2424.546          18.857          39.361               9               0
204844671          15.442         575.470         131.666         206.153              14               0
203761420          12.210         321.315          21.377          37.266              16               0
205674505          11.883         288.430          16.716          26.831               8               0
202752443          14.664        1929.518          99.722         155.743              17               0
203043947          14.985        4342.940         176.331         249.039              32               0
205042315          12.238         228.545          60.660         101.016               1               0
205234124          15.048         617.216         143.539         170.726              23               0
202822405          12.430         244.654          27.319          46.067              12               0
203708860          11.061         720.556          24.082          30.957              24               0
203832125          14.001         240.265         107.492         140.814               3               0
204514548           9.053         671.994         515.798        1039.875              33               1
204218767          12.605         243.449         102.338         146.755               2               0
202788272          12.601         116.892          41.343          59.167               6               0
