##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 3, 2016, 1:58 a.m.
## Download Date (Y/M/D): 2016/03/22
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;campaign&quot;:[&quot;0&quot;,&quot;1&quot;,&quot;2&quot;,&quot;3&quot;,&quot;4&quot;,&quot;5&quot;,&quot;6&quot;,&quot;7&quot;,&quot;8&quot;,&quot;9&quot;],&quot;kics&quot;:[],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;camp&quot;,&quot;bjd0&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
#KIC,camp,period,bjd0,pwidth,swidth,sep,
202073186,K2C0,1.2248292,56774.797274,0.1127,0.1146,0.4997,
202073203,K2C0,1.1980148,56775.499770,0.1975,-1.0000,1.0000,
202073207,K2C0,1.0503292,56775.771581,0.1313,-1.0000,1.0000,
202073210,K2C0,1.0250708,56775.048871,0.0893,0.0949,0.4995,
202073217,K2C0,0.9411349,56774.318312,0.1497,0.1160,0.5064,
202073218,K2C0,0.9212211,56774.404674,0.1791,0.2295,0.4988,
202073232,K2C0,0.8380076,56774.650029,0.1650,0.1622,0.5055,
202073235,K2C0,0.8191211,56774.508081,0.1464,0.0993,0.4983,
202073238,K2C0,0.7916583,56774.516305,0.1452,0.0930,0.5069,
202073248,K2C0,0.7572978,56774.691808,0.1568,0.1600,0.4976,
202073253,K2C0,0.7338006,56774.619610,0.1503,0.1364,0.5072,
202073262,K2C0,2.2461690,56775.656051,0.1357,0.1053,0.5026,
202073266,K2C0,0.6896077,56774.995292,0.2437,0.3110,0.4852,
202073267,K2C0,0.6840305,56774.517193,0.1676,0.1286,0.5216,
202073270,K2C0,0.6593058,56774.458463,0.1690,0.1996,0.5342,
202073276,K2C0,0.6441636,56774.661198,0.1209,0.0939,0.4981,
202073297,K2C0,0.5274345,56774.459154,0.1562,0.1379,0.5064,
202073307,K2C0,0.5052176,56774.737754,0.2080,0.2372,0.4984,
202073319,K2C0,0.4620820,56774.510448,0.1366,0.1449,0.5102,
202073346,K2C0,0.3842341,56774.463859,0.1090,0.1205,0.4977,
202073348,K2C0,0.3207353,56775.966591,0.1007,0.0824,0.4944,
202073353,K2C0,0.3712410,56774.705574,0.1423,0.1023,0.4910,
202073361,K2C0,0.3618331,56774.408956,0.1539,0.1545,0.4984,
202073397,K2C0,0.3455274,56774.532584,0.2358,0.2405,0.4929,
202073438,K2C0,2.4058959,56776.019981,0.0911,0.0991,0.4964,
202073440,K2C0,2.6241348,56774.723131,0.0569,0.0698,0.6714,
202073442,K2C0,3.8673995,56776.759067,0.1905,0.2755,0.5224,
202073445,K2C0,2.8354024,56775.005665,0.0614,0.0670,0.5013,
202073489,K2C0,0.3487252,56774.558866,0.1584,0.0821,0.5086,
202073490,K2C0,2.0292350,56775.945522,0.1026,0.1030,0.5003,
202073495,K2C0,2.8605684,56775.997021,0.0925,0.0655,0.5064,
202083021,K2C0,2.9324001,56774.021658,0.1494,0.1285,0.4901,
202083510,K2C0,3.3075922,56729.917585,0.0190,0.0182,0.4999,
202083650,K2C0,2.4604156,56775.530524,0.0378,0.0265,0.5000,
202083924,K2C0,0.3783797,56774.363170,0.1141,0.1034,0.5004,
202085014,K2C0,0.5478504,56769.852878,0.1371,0.1397,0.4989,
202086225,K2C0,25.6485373,56778.942544,0.0117,0.0100,0.4814,
202086291,K2C0,2.4349633,56776.560321,0.1048,-1.0000,1.0000,
202086627,K2C0,7.1512571,56777.681406,0.0226,0.0233,0.5025,
202087553,K2C0,9.0011978,56776.817291,0.0289,0.0264,0.5036,
202088178,K2C0,2.3706158,56775.389983,0.0825,0.0726,0.5029,
202088191,K2C0,1.6616157,56775.618613,0.0617,0.0865,0.4933,
202088387,K2C0,3.5501696,56777.700359,0.0568,-1.0000,1.0000,
202091203,K2C0,5.2141614,56775.744641,0.0421,0.0418,0.5014,
202091278,K2C0,19.8183000,56781.404100,0.0208,0.0216,0.5004,
202091404,K2C0,21.0842013,56782.904577,0.0156,0.0256,0.8207,
202091514,K2C0,8.3129561,56774.450948,0.0220,0.0233,0.5028,
202091545,K2C0,1.8577881,56775.908785,0.0825,0.0880,0.4992,
202092480,K2C0,5.6878394,56778.019311,0.0310,0.0373,0.5018,
202092613,K2C0,3.1874830,56770.063950,0.0449,0.0743,0.5052,
202093968,K2C0,2.4700011,56774.562251,0.0425,0.0761,0.4744,
202094117,K2C0,1.6344856,56770.524742,0.0617,-1.0000,1.0000,
202094234,K2C0,2.4207906,56769.729918,0.0980,0.1066,0.5009,
202095298,K2C0,5.6270272,56775.242737,0.0310,0.0278,0.5021,
202103762,K2C0,1.3264960,56775.143918,0.0687,0.0641,0.5014,
202122545,K2C0,19.2700000,56783.891800,0.0071,0.0118,0.2450,
202126825,K2C0,9.2068029,56780.804663,0.0279,0.0928,0.5283,
202126847,K2C0,8.3439012,56778.272661,0.0319,0.0300,0.5009,
202126849,K2C0,3.8000107,56778.072213,0.0182,-1.0000,1.0000,
202126851,K2C0,4.4799071,56778.960736,0.0428,0.0455,0.5020,
202126864,K2C0,6.1877566,56779.150429,0.0354,0.0164,0.4027,
202126871,K2C0,8.4309612,56775.687093,0.0107,-1.0000,1.0000,
202126878,K2C0,5.5592802,56779.250046,0.0414,0.0397,0.5049,
202126880,K2C0,3.4608488,56774.509030,0.0391,0.0387,0.4980,
202126886,K2C0,2.9411364,56775.232571,0.0564,0.0601,0.5024,
202126887,K2C0,12.8557000,56777.255700,0.0100,-1.0000,1.0000,
202137167,K2C0,4.3955942,56774.634729,0.2925,0.1242,0.5019,
202137209,K2C0,2.3818347,56769.256018,0.0676,-1.0000,1.0000,
202137571,K2C0,4.4772404,56777.166248,0.1380,0.1335,0.5013,
202139294,K2C0,1.0433455,56774.358573,0.1233,0.1210,0.4995,
202643279,K2C2,2.3432752,56895.802848,0.0785,0.0626,0.4973,
202674012,K2C2,23.3103761,56909.348284,0.0250,0.0260,0.5014,
202685801,K2C2,3.3258848,56895.357256,0.1057,0.1111,0.4900,
202688980,K2C2,1.4555744,56895.182268,0.0607,-1.0000,1.0000,
